,tanggal,tweet
29,2023-01-20,"MasyaAllah ❤😍
Semoga Allah memberkahi rumah tangga calon presiden kita 🤲 aamiin. 
2024 
Good bener ya Pak @aniesbaswedan https://t.co/BBPliBkMsu"
30,2023-01-20,"PDIP belum tentukan calon presiden hadapi Pilpres 2024. Namun nama Ketua DPR RI Puan Maharani santer disebut paling layak capres.
https://t.co/hoFrRiTF53"
31,2023-01-20,"Lembaga survei Indonesia Network Election Survei (INES) menyatakan @airlangga_hrt dan @Dr_Moeldoko menjadi pasangan calon presiden dan calon wakil presiden pada Pilpres 2024 yang merupakan pilihan para  pelaku usaha. 
#MoeldokoPenjagaNKRI https://t.co/6AWQ9NFhCg"
32,2023-01-20,"Mencuat di publik, nama @airlangga_hrt digadang-gadang sebagai calon presiden ideal jika dipasangkan dengan KSP @Dr_Moeldoko di pilpres 2024. Para pelaku usaha menilai duet Airlangga-Moeldoko merupakan pasangan yang paling siap meneruskan program Jokowi. 
#MoeldokoPenjagaNKRI https://t.co/psYXKnGCQf"
33,2023-01-20,"Prabowo Subianto, Ganjar Pranowo dan Anies Baswedan menjadi tiga kandidat calon presiden atau Capres 2024 yang mempunyai elektabilitas mumpuni berdasarkan hasil survei Charta Politika dan Litbang Kompas. - Prabowo Subianto #BersatuNegeri #BangkitBersama"
34,2023-01-20,"Nama @airlangga_hrt dan KSP @Dr_Moeldoko 
Calon pilpres 2024
Yang Menjadi Pasangan Paling Siap Meneruskan Program - Program Presiden @jokowi 

#MoeldokoPenjagaNKRI https://t.co/QXLaqUKafF"
35,2023-01-20,"Tak cuma itu, LSN menunjukkan 26,4 persen responden menginginkan calon presiden pada 2024 berlatar belakang militer atau TNI.

Prabowo Subianto
#BangkitBersama #BersatuNegeri https://t.co/hKBWeH2UfU"
36,2023-01-20,@aniesbaswedan @feryfarhati Byk yg kejang2 pak Anis. Negeri Anoha lebih suka yg narsis2 dan lebay. Haleluya.. calon presiden 2024.
37,2023-01-20,"“Itu sebabnya, kita semua ingin agar Ketua Dewan Pembina dan Ketua Umum Partai Gerindra, Prabowo Subianto dalam Pilpres 2024 maju sebagai calon presiden,” tutur Muzani, Sabtu (28/08/2021).
#BersatuNegeri 
#BangkitBersama"
38,2023-01-20,"""Presiden Joko Widodo (Jokowi) angkat bicara soal dukungannya terhadap para calon presiden dan wakil presiden di Pemilihan Presiden (Pilpres) 2024.
https://t.co/lMhuzR2ggI
#BersatuNegeri
#BangkitBersama Prabowo Subianto good leader"""
39,2023-01-20,"""Partai Gerindra menyambut positif dukungan Presiden Joko Widodo agar Ketua Umum Gerindra Prabowo Subianto maju menjadi calon presiden di tahun 2024.
#BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader"""
40,2023-01-20,"""Presiden Joko Widodo menyatakan bahwa ia mendukung Menteri Pertahanan Prabowo Subianto untuk maju sebagai calon presiden dalam pemilihan umum 2024 mendatang.
 #BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader https://t.co/XKnrZgtOLX"""
41,2023-01-20,"Presiden Haidar Alwi Institute (HAI), Haidar Alwi, menduga calon presiden (capres) Partai NasDem Anies Baswedan akan menjadi BONEKA Amerika Serikat bila nantinya memenangkan Pilpres 2024.

https://t.co/NFKxdvEraV"
42,2023-01-20,"""Partai Gerindra menyambut positif dukungan Presiden Joko Widodo agar Ketua Umum Gerindra Prabowo Subianto maju menjadi calon presiden di tahun 2024.
#BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader https://t.co/dPUt0XHZsw"""
43,2023-01-20,Dasco menegaskan bahwa Gerindra telah satu suara memutuskan untuk mengusung kembali Prabowo Subianto maju calon presiden (capres) di Pemilu 2024. #BersatuNegeri #BangkitBersama
44,2023-01-20,"Siapa calon pemimpin yg layak gantikan Presiden Jokowi nanti? Pakar Komunikasi Politik dari UPH, Emrus Sihombing menilai, yang layak maju di Pilpres 2024 nanti adalah harus yang berkualitas, tidak hanya memiliki elektabilitas &amp; popularitas yang tinggi, layaknya Puan Maharani. https://t.co/nN6XSfshwc"
45,2023-01-20,"Jokowi menjelaskan partai politik dan masyarakat Indonesia harus hati-hati memilih calon presiden untuk Pemilu 2024.
#BersatuNegeri #BangkitBersama"
46,2023-01-20,"https://t.co/Mh2c3EvdDv, Jakarta - Menjelang Pemilu 2024, situasi politik mulai menghangat dengan dihiasi nama-nama tokoh yang digadang-gadang muncul menjadi calon presiden, salah satunya Prabowo Subianto. #BersatuNegeri #BangkitBersama"
47,2023-01-20,"Jokowi mengatakan setelah dia memenangkan Pilpres 2014 dan 2019, maka saat ini adalah kesempatan bagi Prabowo Subianto untuk menjadi bakal calon presiden di Pilpres 2024.
#BersatuNegeri #BangkitBersama"
48,2023-01-20,"Prabowo Subianto saat ini telah mendeklarasikan diri akan maju dalam pemilihan presiden 2024. Deklarasi Partai Gerindra mendukung Prabowo maju dalam calon presiden 
#BangkitBersama #BersatuNegeri"
49,2023-01-20,"(3) “Itu sebabnya, kita semua ingin agar Ketua Dewan Pembina dan Ketua Umum Partai Gerindra, Prabowo Subianto dalam Pilpres 2024 maju sebagai calon presiden,” tutur Muzani, Sabtu (28/08/2021).
#BersatuNegeri 
#BangkitBersama"
50,2023-01-20,"Prabowo Subianto saat ini telah mendeklarasikan diri akan maju dalam pemilihan presiden 2024. Deklarasi Partai Gerindra mendukung Prabowo maju dalam calon presiden 
#BangkitBersam #BersatuNegeri"
51,2023-01-20,"Dua tahun menjelang Pemilihan Presiden (Pilpres) 2024, Presiden Joko Widodo (Jokowi) telah berkali-kali melemparkan kode mengenai sosok yang bakal didukung menjadi calon presiden (capres). #BersatuNegeri #BangkitBersama
Prabowo Subianto"
52,2023-01-20,"Peran king maker Jokowi dalam restu kepada calon presiden untuk Pemilu 2024. 

Prabowo Subianto
#BersatuNegeri https://t.co/rUkoI4Vo1A https://t.co/zsjWHzD9FJ"
53,2023-01-20,"""Partai Gerindra menyambut positif dukungan Presiden Joko Widodo agar Ketua Umum Gerindra Prabowo Subianto maju menjadi calon presiden di tahun 2024.
#BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader"""
54,2023-01-20,"""Presiden Joko Widodo (Jokowi) angkat bicara soal dukungannya terhadap para calon presiden dan wakil presiden di Pemilihan Presiden (Pilpres) 2024.
https://t.co/ATUHoHfV6M
#BersatuNegeri
#BangkitBersama Prabowo Subianto good leader"""
55,2023-01-20,"""Partai Gerindra menyambut positif dukungan Presiden Joko Widodo agar Ketua Umum Gerindra Prabowo Subianto maju menjadi calon presiden di tahun 2024.
#BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader"""
56,2023-01-20,"""Presiden Joko Widodo menyatakan bahwa ia mendukung Menteri Pertahanan Prabowo Subianto untuk maju sebagai calon presiden dalam pemilihan umum 2024 mendatang.
 #BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader https://t.co/CM6oVHQQmK"""
57,2023-01-20,"""Partai Gerindra menyambut positif dukungan Presiden Joko Widodo agar Ketua Umum Gerindra Prabowo Subianto maju menjadi calon presiden di tahun 2024.
#BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader https://t.co/t55UNVAUnE"""
58,2023-01-20,"“Itu sebabnya, kita semua ingin agar Ketua Dewan Pembina dan Ketua Umum Partai Gerindra, Prabowo Subianto dalam Pilpres 2024 maju sebagai calon presiden,” tutur Muzani, Sabtu (28/08/2021).
#BersatuNegeri 
#BangkitBersama"
59,2023-01-20,"Gubernur Jawa Tengah Ganjar Pranowo yang dijuluki ‘The Little Jokowi’ dinilai tak akan mampu semoncer Jokowi dalam menghimpun dukungan masyarakat terhadap PDIP. Maka, keriuhan figur Ganjar di bursa Calon Presiden (Capres) 2024 tidak berbanding lurus… https://t.co/6ViJavnZJi"
60,2023-01-20,"Menteri Pertahanan Prabowo Subianto terus menguat sebagai figur calon presiden melanjutkan kepemimpinan Presiden Joko Widodo pada Pilpres 2024 mendatang.
#BersatuNegeri #BangkitBersama"
61,2023-01-20,"PDIP berpeluang mengusung Puan Maharani sebagai calon presiden dalam pemilu 2024. Puan dinilai memiliki modal dgn posisi politik yg cukup kuat utk diusung diantara kader PDI Perjuangan lainnya.

Demikian dikatakan Kepala Departemen Politik &amp; Perubahan Sosial CSIS, Arya Fernandes. https://t.co/c6pSNjJJEJ"
62,2023-01-20,"Jokowi dalam beberapa kesempatan telah memberi sinyal untuk Menteri Pertahanan Prabowo Subianto maju sebagai calon presiden atau capres 2024.

#BersatuNegeri #BangkitBersama 
prabowosubianto. https://t.co/fFLZwQw19e"
63,2023-01-20,"Alasan yg paling masuk akal dan simple adalah, Prabowo Subianto satu-satunya calon Presiden yg memiliki tiket pasti untuk melangkah di 2024, pasca bergabungnya PKB dengan Gerindra.

#BangkitBersama #BersatuNegeri https://t.co/mdjJwzVZmY"
64,2023-01-20,"""Partai Gerindra menyambut positif dukungan Presiden Joko Widodo agar Ketua Umum Gerindra Prabowo Subianto maju menjadi calon presiden di tahun 2024.
#BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader"""
65,2023-01-20,"""Presiden Joko Widodo (Jokowi) angkat bicara soal dukungannya terhadap para calon presiden dan wakil presiden di Pemilihan Presiden (Pilpres) 2024.
https://t.co/ClP8kdRtzG
#BersatuNegeri
#BangkitBersama Prabowo Subianto good leader"""
66,2023-01-20,"""Partai Gerindra menyambut positif dukungan Presiden Joko Widodo agar Ketua Umum Gerindra Prabowo Subianto maju menjadi calon presiden di tahun 2024.
#BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader"""
67,2023-01-20,"""Presiden Joko Widodo menyatakan bahwa ia mendukung Menteri Pertahanan Prabowo Subianto untuk maju sebagai calon presiden dalam pemilihan umum 2024 mendatang.
 #BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader https://t.co/a7fUPkMZSs"" https://t.co/hDgEOsLpWU"
68,2023-01-20,"Wakil Ketua DPR RI Sufmi Dasco menjelaskan seluruh kader Gerindra sudah mengamanatkan Prabowo Subianto maju sebagai calon presiden di pilpres 2024
https://t.co/c9Ib1bACX7
#BersatuNegeri  #BangkitBersama"
69,2023-01-20,"Sebelumnya, Partai Gerindra mendeklarasikan Prabowo Subianto sebagai calon presiden mereka. Gerindra menggandeng PKB untuk membentuk koalisi guna menyongsong 2024.
#BersatuNegeri #BangkitBersama"
70,2023-01-20,"Wakil Ketua DPR RI Sufmi Dasco menjelaskan seluruh kader Gerindra sudah mengamanatkan Prabowo Subianto maju sebagai calon presiden di pilpres 2024
https://t.co/WaagCCzR3t
#BersatuNegeri  #BangkitBersama https://t.co/K5OaZOL5te"
